Formula 1
Genetic Run 2: Time=0.9071 seconds, Flips=83
Genetic Run 3: Time=0.9736 seconds, Flips=82
Genetic Run 4: Time=0.9199 seconds, Flips=83
Genetic Run 5: Time=0.9351 seconds, Flips=83
Genetic Run 6: Time=1.0290 seconds, Flips=83
Genetic Run 7: Time=1.0414 seconds, Flips=82
Genetic Run 8: Time=1.0431 seconds, Flips=82
Genetic Run 9: Time=0.9908 seconds, Flips=83
Genetic Run 10: Time=1.0084 seconds, Flips=83

Formula 14
DPLL: Time=0.0044 seconds, Nodes expanded=31
WalkSAT Run 1: Time=0.3382 seconds, Max satisfied=83
WalkSAT Run 2: Time=0.3411 seconds, Max satisfied=83
WalkSAT Run 3: Time=0.3417 seconds, Max satisfied=82
WalkSAT Run 4: Time=0.3494 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3422 seconds, Max satisfied=82
WalkSAT Run 6: Time=0.3416 seconds, Max satisfied=82
WalkSAT Run 7: Time=0.3449 seconds, Max satisfied=82
WalkSAT Run 8: Time=0.3467 seconds, Max satisfied=82
WalkSAT Run 9: Time=0.3481 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3472 seconds, Max satisfied=82
Genetic Run 1: Time=0.9907 seconds, Flips=81
Genetic Run 2: Time=0.9617 seconds, Flips=82
Genetic Run 3: Time=0.9745 seconds, Flips=83
Genetic Run 4: Time=0.9874 seconds, Flips=82
Genetic Run 5: Time=0.9817 seconds, Flips=82
Genetic Run 6: Time=1.0466 seconds, Flips=81
Genetic Run 7: Time=1.0362 seconds, Flips=81
Genetic Run 8: Time=1.0558 seconds, Flips=80
Genetic Run 9: Time=0.9964 seconds, Flips=83
Genetic Run 10: Time=0.9753 seconds, Flips=83

Formula 15
DPLL: Time=0.0005 seconds, Nodes expanded=5
WalkSAT Run 1: Time=0.3589 seconds, Max satisfied=79
WalkSAT Run 2: Time=0.3588 seconds, Max satisfied=79
WalkSAT Run 3: Time=0.3562 seconds, Max satisfied=79
WalkSAT Run 4: Time=0.3610 seconds, Max satisfied=79
WalkSAT Run 5: Time=0.3600 seconds, Max satisfied=79
WalkSAT Run 6: Time=0.3586 seconds, Max satisfied=80
WalkSAT Run 7: Time=0.3780 seconds, Max satisfied=79
WalkSAT Run 8: Time=0.3618 seconds, Max satisfied=79
WalkSAT Run 9: Time=0.3541 seconds, Max satisfied=79
WalkSAT Run 10: Time=0.3534 seconds, Max satisfied=79
